arrival_key,date_key,transport_key,geography_key,origin_geography_key,destination_geography_key,market_origin_key,flight_number,vessel_name,passenger_count,arrival_datetime,arrival_date,arrival_time,arrival_hour,arrival_day_part,departure_datetime,departure_date,departure_time,departure_hour,departure_day_part,days_stay,flow_type,passenger_type,is_repeat_visit,origin_airport_code,origin_city,origin_country_code,destination_airport_code,destination_city,destination_country_code,is_direct_flight,number_of_connections,total_journey_hours,is_peak_season,is_weekend,is_holiday,data_quality_flag,granularity_level,source_confidence,dq_score,data_completeness_pct,imputation_method,observation_count,suppressed,computation_method,source_system,source_file,load_timestamp,created_timestamp
597220,20250925,,,,232815,41,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.661953,
597221,20250925,,,,232828,184,,,6,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.662871,
597222,20250925,,,,,101,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.663771,
597223,20250925,,,,,157,,,3,,2025-09-17,,,,,2025-09-25,,,,8,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.66468,
597224,20250925,,,,232826,15,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.665704,
597225,20250925,,,,232828,104,,,3,,2025-09-20,,,,,2025-09-25,,,,5,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.666624,
597226,20250925,,,,,110,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.667523,
597227,20250925,,,,,216,,,6,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.66842,
597228,20250925,,,,,84,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.669323,
597229,20250925,,,,,157,,,3,,2025-09-20,,,,,2025-09-25,,,,5,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.670236,
597230,20250925,,,,,215,,,3,,2025-09-20,,,,,2025-09-25,,,,5,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.671144,
597231,20250925,,,,,179,,,24,,2025-09-17,,,,,2025-09-25,,,,8,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.672055,
597232,20250925,,,,232828,77,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.672992,
597233,20250925,,,,232828,101,,,3,,2025-09-19,,,,,2025-09-25,,,,6,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.673897,
597234,20250925,,,,,22,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.674886,
597235,20250925,,,,,22,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.687626,
597236,20250925,,,,,131,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.688674,
