time,weather_temperature_2m,weather_precipitation_mm,weather_wind_speed_10m,weather_relative_humidity_2m,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,movement_date
2025-09-18 02:00:00,22.0,0.0,18.7,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 03:00:00,22.0,0.0,18.0,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 04:00:00,22.0,0.0,18.4,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 05:00:00,22.0,0.0,17.9,79,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 06:00:00,21.9,0.0,17.8,79,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 07:00:00,22.0,0.0,17.4,79,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 08:00:00,22.1,0.0,17.3,79,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 09:00:00,22.9,0.0,19.1,75,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 10:00:00,23.8,0.0,20.6,71,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 11:00:00,24.2,0.1,21.5,69,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
