time_bucket,movement_date,granularity_level,geography_key,total_incoming,record_count
2025-10-04T14:00:00,2025-10-04,HOURLY,3652,4889.670059999999,6273
2025-10-06T08:00:00,2025-10-06,HOURLY,3633,976.543519999998,4512
2025-06-02T15:00:00,2025-06-02,,232823,1054.0,31
2025-09-27T20:00:00,2025-09-27,DAILY,3721,655.1451899999997,885
2025-09-27T20:00:00,2025-09-27,DAILY,3703,1260.9946199999993,1369
2025-10-07T12:00:00,2025-10-07,HOURLY,3642,1550.286339999994,4122
2025-09-29T06:00:00,2025-09-29,HOURLY,3622,476.6350799999991,2212
2025-10-07T03:00:00,2025-10-07,HOURLY,3678,3486.889480000027,4816
2025-10-04T23:00:00,2025-10-04,HOURLY,3619,84.6619000000001,1779
2025-10-04T03:00:00,2025-10-04,HOURLY,3728,741.5905399999996,284
2025-10-02T20:00:00,2025-10-02,DAILY,3678,322.0108099999999,1633
2025-09-28T20:00:00,2025-09-28,DAILY,3722,476.83436,1098
2025-10-04T19:00:00,2025-10-04,HOURLY,3707,5949.824369999982,4909
2025-10-05T16:00:00,2025-10-05,HOURLY,3685,2369.7422800000018,2445
2025-10-09T16:00:00,2025-10-09,DAILY,3643,1149.55407,4182
2025-10-09T09:00:00,2025-10-09,HOURLY,3728,1360.19276,768
2025-10-01,2025-10-01,DAILY,10026,1055.6229099999998,60
2025-07-17T20:00:00,2025-07-17,,232824,1147.0,31
2025-10-04T19:00:00,2025-10-04,HOURLY,3708,222.54128000000046,1017
2025-10-06T13:00:00,2025-10-06,HOURLY,3678,4008.063800000039,9628
2025-10-04T19:00:00,2025-10-04,HOURLY,3736,394.43272000000024,1197
2025-10-01T12:00:00,2025-10-01,HOURLY,3719,371.7971599999998,324
2025-09-27T04:00:00,2025-09-27,HOURLY,3639,1033.8455299999987,2029
2025-07-05T17:00:00,2025-07-05,,232809,2418.0,31
2025-09-27T02:00:00,2025-09-27,HOURLY,3647,2317.439999999999,1521
2025-10-07T20:00:00,2025-10-07,HOURLY,3755,662.5379799999998,1086
2025-10-08T05:00:00,2025-10-08,HOURLY,3687,3220.185140000023,6462
2025-09-30T22:00:00,2025-09-30,HOURLY,3730,93.26248000000001,225
2025-09-26T18:00:00,2025-09-26,HOURLY,3658,2392.876880000019,9354
2025-07-08T10:00:00,2025-07-08,,232830,2325.0,31
2025-10-06T09:00:00,2025-10-06,DAILY,3657,947.6696099999942,5540
2025-10-05T18:00:00,2025-10-05,HOURLY,3689,1614.648039999998,1263
2025-10-03T16:00:00,2025-10-03,HOURLY,3739,489.0300000000003,2478
2025-10-02T17:00:00,2025-10-02,HOURLY,3709,54.41023000000001,935
2025-10-01T05:00:00,2025-10-01,HOURLY,3633,542.8172800000009,1762
2025-07-21T20:00:00,2025-07-21,,232824,1333.0,31
2025-09-27T16:00:00,2025-09-27,DAILY,3676,1042.8895299999956,3979
2025-09-24,2025-09-24,DAILY,3686,5829.527949999964,9985
2025-10-01T09:00:00,2025-10-01,DAILY,3720,543.0485000000002,2323
2025-09-29T01:00:00,2025-09-29,HOURLY,3671,2535.618560000026,2014
2025-10-06T17:00:00,2025-10-06,HOURLY,3710,1527.27544,1452
2025-10-01T11:00:00,2025-10-01,HOURLY,3672,2728.002020000034,6062
2025-09-29T14:00:00,2025-09-29,,232824,1612.0,62
2025-10-04T13:00:00,2025-10-04,HOURLY,3689,1693.9770799999992,1366
2025-09-30T11:00:00,2025-09-30,HOURLY,3757,120.10332000000021,1652
2025-09-26T06:00:00,2025-09-26,HOURLY,3659,403.63333,3031
2025-09-24T13:00:00,2025-09-24,HOURLY,3635,1413.7514199999948,6686
2025-10-04T02:00:00,2025-10-04,HOURLY,3651,9569.769719999922,5412
2025-10-01T10:00:00,2025-10-01,HOURLY,3701,816.0029699999994,3652
2025-09-24T13:00:00,2025-09-24,HOURLY,3628,359.25424999999973,3379
2025-10-05T07:00:00,2025-10-05,HOURLY,3688,427.58099999999973,1874
2025-10-07T12:00:00,2025-10-07,DAILY,3741,1827.8985299999965,2228
2025-10-04T16:00:00,2025-10-04,HOURLY,3633,881.4590999999978,4860
2025-10-03T12:00:00,2025-10-03,HOURLY,3669,476.6126499999997,3490
2025-10-07T04:00:00,2025-10-07,HOURLY,3729,1690.4715599999988,1472
2025-10-09T16:00:00,2025-10-09,DAILY,3749,3841.422030000034,9135
2025-10-08,2025-10-08,DAILY,3659,1496.4244899999965,17695
2025-10-01,2025-10-01,HOURLY,3759,21.94207,50
2025-08-31T09:00:00,2025-08-31,,232813,1856.0,32
2025-10-06T11:00:00,2025-10-06,HOURLY,3684,614.5316200000004,490
2025-10-05T16:00:00,2025-10-05,DAILY,3711,1046.6427200000007,1394
2025-10-07,2025-10-07,HOURLY,3620,4900.353880000012,5930
2025-10-02,2025-10-02,DAILY,3646,1362.6728199999723,12498
2025-10-02T14:00:00,2025-10-02,HOURLY,3765,5.76816999999999,607
2025-08-25T17:00:00,2025-08-25,,232824,2400.0,32
2025-06-25T20:00:00,2025-06-25,,232823,1736.0,31
2025-10-09T10:00:00,2025-10-09,HOURLY,3678,3732.7415000000165,8910
2025-10-03T21:00:00,2025-10-03,HOURLY,3625,872.0176400000008,2324
2025-09-30T11:00:00,2025-09-30,HOURLY,3618,5769.840499999998,2939
2025-05-28T18:00:00,2025-05-28,,232823,2511.0,31
2025-09-24T12:00:00,2025-09-24,DAILY,3691,2453.9427799999976,5256
2025-09-30T22:00:00,2025-09-30,HOURLY,3652,4844.368959999999,5730
